a	class
about	subject
academic	academicjournal
academic advisor	academicadvisor
academic area	academicdiscipline
academic discipline	academicdiscipline
academic journal	academicjournal
acted	starring
actor	starring
actors of	starring
actress	starring
adapted from	basedon
admin hq	headquarter
administrative centre	capital
administrative headquarters	capital
administrative region	administrativeregion
administrator	maintainedby
advisor	academicadvisor
advisor	doctoraladvisor
affiliation	affiliations
affiliation	religiousaffiliation
affiliations's	affiliations
agencies	governmentagency
agency	agencyname
agency name	agencyname
aircraft system anti	fsg-1_antiaircraft_defense_system
aired	firstaired
airlines	airline
airport	hubairport
airport	targetairport
airport hub	hubairport
album	nextalbum
alma mater	almamater
alma mater	education
alumni of	almamater
american football league	americanfootballleague
american football player	americanfootballplayer
american football players	americanfootballplayer
american football team	americanfootballteam
amusement park attraction	amusementparkattraction
an/gsg-5	gsg-5_battery_integration_and_radar_display_equipment
and	associatedband
appliance	informationappliance
appliance's	informationappliance
appointed	appointer
arch.	architect
architects	architecture
architectural	architecturalstyle
architectural style	architecturalstyle
architectural style	architecture
architecture	architecturalstyle
are	area
are	birthplace
are	label
are	nearestcity
are	party
area	academicdiscipline
area	discipline
area	fields
areas	area
areas	broadcastarea
art	artist
artist music	associatedmusicalartist
artist music	musicalartist
artists	artist
artists	associatedmusicalartist
artists	creator
artists	musicalartist
ascented	firstascentperson
assembles	assembly
assembly of	ispartof
associat	associatedacts
associate acts	associatedacts
associate band	associatedband
associate musical	associatedmusicalartist
associate musical artist	associatedmusicalartist
associated	associate
associated	associatedacts
associated	associatedband
associated	associatedmusicalartist
associated act	associatedacts
associated acts	associatedacts
associated band	associatedband
associated music	associatedmusicalartist
associated musical	associatedmusicalartist
associated musical artist	associatedmusicalartist
associates	associatedacts
at	occupation
at	operator
at	related
athletic	athletics
attend	education
attended	education
author	writer
authorities	localauthority
authority	binomialauthority
authority local	localauthority
authors	author
authors	writer
authors	writers
automobile engine	automobileengine
automobile latform	automobileplatform
automobile platform	automobileplatform
award	awards
award won	award
award won	awards
awarded	award
awarded	awards
awards	award
awards	honours
awards received	award
awards received	awards
badminton player	badmintonplayer
band	artist
band	associatedband
band	bandmember
band	formerbandmember
band	musicalartist
band	musicalband
band member	bandmember
bands	associatedband
bands	bandmember
bands	musicalartist
base currency	currency
baseball player	baseballplayer
baseball team	baseballteam
based on	basedon
based upon	basedon
basket team ball	basketballteam
basketball league	basketballleague
basketball player	basketballplayer
basketball team	basketballteam
battle	battlehonours
battle	battles
battle	militaryconflict
battle honours	battlehonours
battled	battles
bearer flag	flagbearer
beatified by	beatifiedby
before	previouswork
belongs to	owner
binomial authority	binomialauthority
birth	birthplace
birth	placeofbirth
birth city	birthplace
birth location	birthplace
birth name	birthname
birth place	birthplace
birth place	placeofbirth
boards	board
body discovered	bodydiscovered
books	book
born	birthplace
born	placeofbirth
born in	birthplace
bred	breeder
breeded	breeder
bridge over	crosses
broad cast area	broadcastarea
broadcast	broadcastnetwork
broadcast	formerbroadcastnetwork
broadcast area	broadcastarea
broadcast network	broadcastnetwork
broadcasted	broadcastarea
broadcasts	broadcastarea
bronze medal	bronzemedalist
bronze medalist	bronzemedalist
builder	manufacturer
building type	buildingtype
built	builder
built	shipbuilder
built by	builder
built by	manufacturer
built,	shipbuilder
burial	placeofburial
burial place	placeofburial
buried	placeofburial
buried in	placeofburial
buried in	restingplace
buried,	restingplace
campuses	campus
canonized	canonizedby
canonized by	canonizedby
capital	countyseat
capital town	capital
car	automobile
career	occupation
carry	carries
cars	automobile
cars	carries
cast	starring
cast area	broadcastarea
cast members	starring
central processing unit	cpu
ceremonial county	ceremonialcounty
chaired	chairman
character	characters
characters	charactername
characters	comicscharacter
characters	fictionalcharacter
child	children
children	child
choreographed	formerchoreographer
cinematographed	cinematography
cinematographer	cinematography
citizen of	citizenship
citizens	citizenship
citizenship	nationality
city	administrativeregion
city	capital
city	cities
city	cityserved
city	country
city	district
city	hostcity
city	locationcity
city	nearestcity
city's	locationcity
club	currentclub
club	managerclub
club	soccerclub
club	youthclubs
club manager	manager
clubs	soccerclub
clubs	soccerclubseason
co-founder	foundedby
coach	headcoach
coach	manager
coached	headcoach
comic characters	comicscharacter
comics character	comicscharacter
command structure	commandstructure
commanded	commander
commander	notablecommander
commander	notablecommanders
commanders	notablecommanders
common	almamater
companies	company
companies	parentcompany
company	companytype
company	owningcompany
company	parentcompany
company parent	parentcompany
company's	parentcompany
compiler	editor
composed	composer
composed	musiccomposer
composed	thememusiccomposer
composed by	composer
composer	author
composer	musicby
composer's	thememusiccomposer
composers	musiccomposer
composers	thememusiccomposer
composing	thememusiccomposer
computing platform	computingplatform
conflict	militaryconflict
conflicts	militaryconflict
congressmen	congressman
consort	spouse
constituencies	constituency
constructions	builder
content licence	license
content license	license
conventions	convention
count	city
count	country
count	type
countries	country
countries	locationcountry
countries	sourcecountry
country	county
country	locationcountry
country	mouthcountry
